epsilon,noisy_values,errors,runtimes,true_value
0.05,452.44159236656384,50.55840763343616,7.152557373046875e-07,503
0.05,502.1489131049367,0.8510868950633039,1.1920928955078125e-06,503
0.05,534.029004885609,31.02900488560897,9.5367431640625e-07,503
0.05,434.9758225238681,68.02417747613191,0.0,503
0.05,548.0362824055155,45.03628240551552,0.0,503
0.05,513.4817698204613,10.481769820461295,0.0,503
0.05,470.630163798862,32.369836201138014,1.1920928955078125e-06,503
0.05,518.7223957928362,15.72239579283621,9.5367431640625e-07,503
0.05,477.76254630866777,25.237453691332234,9.5367431640625e-07,503
0.05,525.7125724480414,22.712572448041442,1.1920928955078125e-06,503
0.1,501.75403001908853,1.2459699809114682,0.0,503
0.1,474.44298137077436,28.557018629225638,0.0,503
0.1,494.69750744083757,8.302492559162431,7.152557373046875e-07,503
0.1,528.5971148055057,25.597114805505726,9.5367431640625e-07,503
0.1,497.72133374680993,5.278666253190067,0.0,503
0.1,496.80383983303744,6.196160166962557,0.0,503
0.1,494.9275755332554,8.072424466744621,0.0,503
0.1,514.8284021187303,11.82840211873031,9.5367431640625e-07,503
0.1,499.3178353105831,3.6821646894168794,1.1920928955078125e-06,503
0.1,529.5108927739774,26.51089277397739,9.5367431640625e-07,503
0.2,501.85673959211454,1.1432604078854638,0.0,503
0.2,506.45161412303617,3.4516141230361654,0.0,503
0.2,495.8913895276424,7.108610472357611,1.1920928955078125e-06,503
0.2,498.7111159618082,4.288884038191782,9.5367431640625e-07,503
0.2,499.7858556294073,3.2141443705926918,0.0,503
0.2,503.6643972200868,0.664397220086812,0.0,503
0.2,503.28978183325813,0.28978183325813234,0.0,503
0.2,491.6367943043484,11.363205695651573,1.1920928955078125e-06,503
0.2,508.4838965670823,5.483896567082297,9.5367431640625e-07,503
0.2,499.660064694477,3.3399353055229994,9.5367431640625e-07,503
0.5,503.0429758100385,0.04297581003851292,0.0,503
0.5,504.63595592490515,1.6359559249051472,0.0,503
0.5,501.9193940819362,1.0806059180637817,9.5367431640625e-07,503
0.5,504.60445694907594,1.6044569490759386,9.5367431640625e-07,503
0.5,504.5357012377782,1.5357012377781984,9.5367431640625e-07,503
0.5,502.7731132909449,0.22688670905512254,0.0,503
0.5,503.55935958419474,0.5593595841947376,0.0,503
0.5,503.24511631755644,0.24511631755643748,0.0,503
0.5,500.4585030537067,2.5414969462933072,9.5367431640625e-07,503
0.5,502.8974459279775,0.10255407202248534,7.152557373046875e-07,503
1.0,503.4890624017515,0.4890624017514824,0.0,503
1.0,502.2764344498975,0.723565550102478,0.0,503
1.0,504.67616117963104,1.6761611796310376,0.0,503
1.0,503.88968091962755,0.8896809196275512,9.5367431640625e-07,503
1.0,504.05280325006294,1.0528032500629365,1.1920928955078125e-06,503
1.0,504.2093904871651,1.2093904871650807,9.5367431640625e-07,503
1.0,503.483731997496,0.48373199749602236,0.0,503
1.0,501.6060369299238,1.393963070076211,0.0,503
1.0,502.8161254470111,0.1838745529889252,1.1920928955078125e-06,503
1.0,502.8931933935054,0.10680660649461515,9.5367431640625e-07,503
