epsilon,noisy_values,errors,runtimes,true_value
0.05,2192.3664286222433,16.633571377756653,2.1457672119140625e-06,2209
0.05,2193.0586825699943,15.94131743000571,7.152557373046875e-07,2209
0.05,2196.9720116526755,12.02798834732448,9.5367431640625e-07,2209
0.05,2199.6923304614816,9.30766953851844,1.1920928955078125e-06,2209
0.05,2193.74499581398,15.25500418601996,0.0,2209
0.05,2172.464040994206,36.53595900579421,9.5367431640625e-07,2209
0.05,2202.359426701941,6.6405732980588255,0.0,2209
0.05,2223.702143283367,14.70214328336715,0.0,2209
0.05,2215.0328409015624,6.032840901562395,0.0,2209
0.05,2179.7923485458987,29.207651454101324,0.0,2209
0.1,2211.185733895871,2.1857338958711807,0.0,2209
0.1,2218.4933903869237,9.493390386923693,9.5367431640625e-07,2209
0.1,2214.7333223459295,5.733322345929537,9.5367431640625e-07,2209
0.1,2172.1465347603566,36.853465239643356,7.152557373046875e-07,2209
0.1,2196.74710412716,12.252895872839872,1.1920928955078125e-06,2209
0.1,2195.906301931111,13.093698068888898,0.0,2209
0.1,2206.611054826016,2.3889451739842116,0.0,2209
0.1,2212.991328893431,3.9913288934308184,0.0,2209
0.1,2221.8900655167167,12.890065516716732,0.0,2209
0.1,2224.1860652767955,15.186065276795489,9.5367431640625e-07,2209
0.2,2209.516079486872,0.5160794868720586,9.5367431640625e-07,2209
0.2,2198.4889908211157,10.511009178884251,9.5367431640625e-07,2209
0.2,2211.7676996178993,2.767699617899325,1.1920928955078125e-06,2209
0.2,2198.9175737635437,10.082426236456286,0.0,2209
0.2,2210.9853847011495,1.9853847011495418,0.0,2209
0.2,2212.3621459716683,3.3621459716682693,0.0,2209
0.2,2220.0161413325113,11.016141332511324,1.1920928955078125e-06,2209
0.2,2200.3110986208994,8.688901379100571,9.5367431640625e-07,2209
0.2,2205.8313194728084,3.1686805271915546,1.9073486328125e-06,2209
0.2,2209.393261352742,0.3932613527417743,1.1920928955078125e-06,2209
0.5,2212.1029616198625,3.1029616198625263,9.5367431640625e-07,2209
0.5,2209.7184257290164,0.7184257290164169,9.5367431640625e-07,2209
0.5,2209.0207574711135,0.020757471113483916,1.1920928955078125e-06,2209
0.5,2208.0553903222385,0.9446096777614912,9.5367431640625e-07,2209
0.5,2211.063805905236,2.0638059052362223,0.0,2209
0.5,2210.6987514088164,1.6987514088164062,0.0,2209
0.5,2213.406201409708,4.406201409708046,0.0,2209
0.5,2211.51553605697,2.515536056970177,1.1920928955078125e-06,2209
0.5,2212.2370763184135,3.2370763184135285,9.5367431640625e-07,2209
0.5,2211.6851151576,2.685115157600194,9.5367431640625e-07,2209
1.0,2210.8226919063964,1.8226919063963578,0.0,2209
1.0,2207.6231736389955,1.3768263610045324,0.0,2209
1.0,2209.489978328575,0.48997832857503454,0.0,2209
1.0,2209.185787892386,0.18578789238608806,0.0,2209
1.0,2209.460314187513,0.4603141875131769,1.1920928955078125e-06,2209
1.0,2208.642402690927,0.3575973090728439,9.5367431640625e-07,2209
1.0,2208.562885149617,0.4371148503828408,7.152557373046875e-07,2209
1.0,2208.012923141248,0.9870768587520615,1.1920928955078125e-06,2209
1.0,2209.279794118052,0.2797941180519956,0.0,2209
1.0,2207.596703919889,1.4032960801109766,0.0,2209
