epsilon,noisy_values,errors,runtimes,true_value
0.05,2209,0,0.000186920166015625,2209
0.05,2209,0,0.00017595291137695312,2209
0.05,2215,6,0.00019121170043945312,2209
0.05,2209,0,0.000171661376953125,2209
0.05,2209,0,0.0001742839813232422,2209
0.05,2209,0,0.00017404556274414062,2209
0.05,2209,0,0.00017070770263671875,2209
0.05,2215,6,0.00021028518676757812,2209
0.05,2209,0,0.00015592575073242188,2209
0.05,2209,0,0.00016808509826660156,2209
0.1,2215,6,0.00018906593322753906,2209
0.1,2209,0,0.0001609325408935547,2209
0.1,2215,6,0.0001881122589111328,2209
0.1,2215,6,0.0002040863037109375,2209
0.1,2209,0,0.00018405914306640625,2209
0.1,2215,6,0.0002040863037109375,2209
0.1,2215,6,0.00019502639770507812,2209
0.1,2209,0,0.00018787384033203125,2209
0.1,2209,0,0.00021004676818847656,2209
0.1,2209,0,0.00018405914306640625,2209
0.2,2209,0,0.00017380714416503906,2209
0.2,2215,6,0.00019407272338867188,2209
0.2,2215,6,0.00020623207092285156,2209
0.2,2209,0,0.00018477439880371094,2209
0.2,2209,0,0.00017189979553222656,2209
0.2,2215,6,0.00020194053649902344,2209
0.2,2209,0,0.00017404556274414062,2209
0.2,2209,0,0.00015020370483398438,2209
0.2,2215,6,0.0001800060272216797,2209
0.2,2215,6,0.0001709461212158203,2209
0.5,2215,6,0.00018095970153808594,2209
0.5,2209,0,0.000171661376953125,2209
0.5,2209,0,0.00015878677368164062,2209
0.5,2209,0,0.0001671314239501953,2209
0.5,2209,0,0.00018167495727539062,2209
0.5,2215,6,0.00019502639770507812,2209
0.5,2209,0,0.00015997886657714844,2209
0.5,2215,6,0.00018787384033203125,2209
0.5,2209,0,0.00015783309936523438,2209
0.5,2209,0,0.00016498565673828125,2209
1.0,2209,0,0.00016999244689941406,2209
1.0,2209,0,0.00016808509826660156,2209
1.0,2209,0,0.00017714500427246094,2209
1.0,2209,0,0.00017690658569335938,2209
1.0,2209,0,0.0001621246337890625,2209
1.0,2215,6,0.0002079010009765625,2209
1.0,2209,0,0.00015997886657714844,2209
1.0,2209,0,0.00018906593322753906,2209
1.0,2209,0,0.00017714500427246094,2209
1.0,2209,0,0.00015592575073242188,2209
